CATEGORY,START,STOP,MILES,DURATION in minutes
Business,CBD,St Thomas,1.3,7.0
Business,St Thomas,CBD,1.8,11.0
Business,New Orleans,Kenner,13.6,16.0
Business,Kenner,New Orleans,13.4,17.0
Business,New Orleans,Kenner,12.3,35.0
Personal,Kenner,Kenner,1.4,5.0
Personal,Morrisville,Cary,8.7,-1416.0
Personal,Cary,Morrisville,23.5,41.0
Personal,Morrisville,Morrisville,2.2,14.0
Personal,Morrisville,Cary,4.4,12.0
Personal,Cary,Morrisville,3.3,8.0
Business,Morrisville,Morrisville,11.8,31.0
Business,Morrisville,Banner Elk,195.3,206.0
Personal,Banner Elk,Banner Elk,8.3,21.0
Personal,Banner Elk,Banner Elk,3.2,10.0
Personal,Banner Elk,Elk Park,22.4,40.0
Personal,Elk Park,Banner Elk,12.2,30.0
Personal,Banner Elk,Banner Elk,4.5,12.0
Personal,Banner Elk,Newland,28.1,56.0
Personal,Newland,Newland,3.8,16.0
Personal,Newland,Boone,41.9,88.0
Personal,Boone,Banner Elk,23.8,53.0
Personal,Banner Elk,Banner Elk,13.0,33.0
Business,Banner Elk,Banner Elk,4.4,13.0
Personal,Banner Elk,Boone,15.1,27.0
Personal,Boone,Cary,180.2,185.0
Personal,Cary,Morrisville,4.1,12.0
Personal,Morrisville,Cary,6.1,21.0
Personal,Northwoods,Preston,3.3,11.0
Personal,Preston,Whitebridge,4.7,16.0
Business,Cary,Apex,7.2,21.0
Business,Apex,Cary,5.5,15.0
Business,Cary,Morrisville,3.3,7.0
Business,Hazelwood,Weston,0.9,4.0
Business,Morrisville,Cary,3.8,8.0
Business,Whitebridge,Stonewater,6.4,16.0
Business,Stonewater,Lexington Park at Amberly,3.0,15.0
Business,Lexington Park at Amberly,Whitebridge,8.7,30.0
Business,Whitebridge,Chessington,3.9,10.0
Personal,Chessington,Whitebridge,4.8,18.0
Personal,Whitebridge,Edgehill Farms,2.8,12.0
Personal,Edgehill Farms,Preston,1.4,7.0
Personal,Preston,Whitebridge,1.4,4.0
Business,Whitebridge,Edgehill Farms,2.7,6.0
Business,Edgehill Farms,Burtrose,2.3,9.0
Business,Cary,Morrisville,3.7,15.0
Business,Morrisville,Cary,2.9,9.0
Business,Cary,Morrisville,3.8,11.0
Business,Morrisville,Cary,5.1,14.0
Business,Hazelwood,Lexington Park at Amberly,9.1,23.0
Business,Cary,Durham,8.0,17.0
Business,Durham,Cary,9.9,21.0
Business,Cary,Morrisville,6.1,16.0
Business,Morrisville,Cary,12.2,33.0
Business,Wayne Ridge,Whitebridge,8.0,18.0
Business,Cary,Morrisville,4.0,17.0
Business,Morrisville,Cary,9.5,24.0
Business,Cary,Morrisville,3.0,12.0
Business,Morrisville,Cary,6.3,20.0
Business,Cary,Durham,10.4,16.0
Business,Durham,Cary,9.9,25.0
Business,Whitebridge,Parkway,1.5,6.0
Business,Cary,Morrisville,4.9,11.0
Business,Morrisville,Cary,7.9,29.0
Business,Parkway,Whitebridge,1.7,7.0
Business,Whitebridge,Westpark Place,2.2,6.0
